>Q0010 Q0010 SGDID:S000007257, Chromosome Mito:3952..4338
>MRPL28 YDR462W SGDID:S000002870, Chromosome IV:1386073..1386516
>STP1 YDR463W SGDID:S000002871, Chromosome IV:1386816..1388375
>YDR464C-A YDR464C-A SGDID:S000028614, Chromosome IV:1392492..1392680
>SPP41 YDR464W SGDID:S000002872, Chromosome IV:1388872..1393179
>RMT2 YDR465C SGDID:S000002873, Chromosome IV:1393336..1394574
>PKH3 YDR466W SGDID:S000002874, Chromosome IV:1395121..1397817
>YDR467C YDR467C SGDID:S000002875, Chromosome IV:1397583..1397909
>TLG1 YDR468C SGDID:S000002876, Chromosome IV:1398026..1398700
>SDC1 YDR469W SGDID:S000002877, Chromosome IV:1399015..1399542
>UGO1 YDR470C SGDID:S000002878, Chromosome IV:1399706..1401214
>TRS31 YDR472W SGDID:S000002880, Chromosome IV:1403322..1404173
>YDR476C YDR476C SGDID:S000002884, Chromosome IV:1410453..1411127
>SNF1 YDR477W SGDID:S000002885, Chromosome IV:1412373..1414274
>SNM1 YDR478W SGDID:S000002886, Chromosome IV:1414575..1415171
>PEX29 YDR479C SGDID:S000002887, Chromosome IV:1415210..1416874
>DIG2 YDR480W SGDID:S000002888, Chromosome IV:1417399..1418370
>PHO8 YDR481C SGDID:S000002889, Chromosome IV:1418550..1420250
>CWC21 YDR482C SGDID:S000002890, Chromosome IV:1420431..1420838
>KRE2 YDR483W SGDID:S000002891, Chromosome IV:1421157..1422485
>VPS52 YDR484W SGDID:S000002892, Chromosome IV:1422763..1424688
>VPS60 YDR486C SGDID:S000002894, Chromosome IV:1427431..1428120
>RIB3 YDR487C SGDID:S000002895, Chromosome IV:1428354..1428980
>PAC11 YDR488C SGDID:S000002896, Chromosome IV:1429188..1430789
>SLD5 YDR489W SGDID:S000002897, Chromosome IV:1431012..1431896
>PKH1 YDR490C SGDID:S000002898, Chromosome IV:1431968..1434268
>YDR491C YDR491C SGDID:S000002899, Chromosome IV:1434500..1434991
>IZH1 YDR492W SGDID:S000002900, Chromosome IV:1434924..1435874
>MZM1 YDR493W SGDID:S000002901, Chromosome IV:1436217..1436588
>RSM28 YDR494W SGDID:S000002902, Chromosome IV:1436930..1438015
>VPS3 YDR495C SGDID:S000002903, Chromosome IV:1438115..1441150
>PUF6 YDR496C SGDID:S000002904, Chromosome IV:1441433..1443403
>SEC20 YDR498C SGDID:S000002906, Chromosome IV:1445843..1446994
>LCD1 YDR499W SGDID:S000002907, Chromosome IV:1447830..1450073
>SAM2 YDR502C SGDID:S000002910, Chromosome IV:1453310..1454464
>LPP1 YDR503C SGDID:S000002911, Chromosome IV:1455042..1455866
>SPG3 YDR504C SGDID:S000002912, Chromosome IV:1456311..1456694
>PSP1 YDR505C SGDID:S000002913, Chromosome IV:1456695..1459220
>GMC1 YDR506C SGDID:S000002914, Chromosome IV:1459728..1461554
>GIN4 YDR507C SGDID:S000002915, Chromosome IV:1462358..1465786
>YDR509W YDR509W SGDID:S000002917, Chromosome IV:1468226..1468573
>YDR510C-A YDR510C-A SGDID:S000028615, Chromosome IV:1469695..1469811
>EMI1 YDR512C SGDID:S000002920, Chromosome IV:1470500..1471063
>YDR514C YDR514C SGDID:S000002922, Chromosome IV:1471548..1472999
>SLF1 YDR515W SGDID:S000002923, Chromosome IV:1473429..1474772
>EMI2 YDR516C SGDID:S000002924, Chromosome IV:1474974..1476476
>EUG1 YDR518W SGDID:S000002926, Chromosome IV:1478608..1480161
>FPR2 YDR519W SGDID:S000002927, Chromosome IV:1480425..1480832
>URC2 YDR520C SGDID:S000002928, Chromosome IV:1481085..1483403
>YDR521W YDR521W SGDID:S000002929, Chromosome IV:1483141..1483476
>SPS2 YDR522C SGDID:S000002930, Chromosome IV:1483795..1485303
>SPS1 YDR523C SGDID:S000002931, Chromosome IV:1485566..1487038
>YDR524C-A YDR524C-A SGDID:S000028616, Chromosome IV:1489871..1489990
>YDR524C-B YDR524C-B SGDID:S000028739, Chromosome IV:1489598..1489798
>AGE1 YDR524C SGDID:S000002932, Chromosome IV:1487542..1488990
>YDR524W-C YDR524W-C SGDID:S000028740, Chromosome IV:1489403..1489492
>SNA2 YDR525W-A SGDID:S000007236, Chromosome IV:1490596..1490835
>API2 YDR525W SGDID:S000002933, Chromosome IV:1489905..1490234
>YDR526C YDR526C SGDID:S000002934, Chromosome IV:1491075..1491545
>RBA50 YDR527W SGDID:S000002935, Chromosome IV:1491094..1492413
>HLR1 YDR528W SGDID:S000002936, Chromosome IV:1494586..1495857
>QCR7 YDR529C SGDID:S000002937, Chromosome IV:1496165..1496548
>KRE28 YDR532C SGDID:S000002940, Chromosome IV:1499396..1500553
>YDR535C YDR535C SGDID:S000002943, Chromosome IV:1506606..1507362
>STL1 YDR536W SGDID:S000002944, Chromosome IV:1508005..1509714
>YDR537C YDR537C SGDID:S000002945, Chromosome IV:1510856..1511461
>YDR541C YDR541C SGDID:S000002949, Chromosome IV:1519664..1520698
>YDR544C YDR544C SGDID:S000002952, Chromosome IV:1525095..1525523
>WBP1 YEL002C SGDID:S000000728, Chromosome V:148722..150014
>GIM4 YEL003W SGDID:S000000729, Chromosome V:148176..148599
>YEA4 YEL004W SGDID:S000000730, Chromosome V:146951..147979
>VAB2 YEL005C SGDID:S000000731, Chromosome V:145907..146755
>YEA6 YEL006W SGDID:S000000732, Chromosome V:144327..145334
>MIT1 YEL007W SGDID:S000000733, Chromosome V:141892..143892
>YEL008C-A YEL008C-A SGDID:S000028618, Chromosome V:140726..140818
>YEL008W YEL008W SGDID:S000000734, Chromosome V:140512..140892
>YEL009C-A YEL009C-A SGDID:S000028741, Chromosome V:136371..136778
>GCN4 YEL009C SGDID:S000000735, Chromosome V:138918..139763
>YEL010W YEL010W SGDID:S000000736, Chromosome V:136279..136629
>GLC3 YEL011W SGDID:S000000737, Chromosome V:133120..135234
>VAC8 YEL013W SGDID:S000000739, Chromosome V:128825..130561
>YEL014C YEL014C SGDID:S000000740, Chromosome V:128303..128608
>PMP2 YEL017C-A SGDID:S000002103, Chromosome V:122798..122929
>GTT3 YEL017W SGDID:S000000743, Chromosome V:123657..124670
>YEL018C-A YEL018C-A SGDID:S000028742, Chromosome V:121455..121988
>EAF5 YEL018W SGDID:S000000744, Chromosome V:121471..122310
>YEL020C-B YEL020C-B SGDID:S000028544, Chromosome V:117183..117380
>TIM9 YEL020W-A SGDID:S000007256, Chromosome V:117211..117474
>URA3 YEL021W SGDID:S000000747, Chromosome V:116167..116970
>YEL023C YEL023C SGDID:S000000749, Chromosome V:108504..110552
>RIP1 YEL024W SGDID:S000000750, Chromosome V:107260..107907
>SNU13 YEL026W SGDID:S000000752, Chromosome V:101943..102323
>YEL028W YEL028W SGDID:S000000754, Chromosome V:98668..99129
>YEL030C-A YEL030C-A SGDID:S000028619, Chromosome V:94583..94897
>ECM10 YEL030W SGDID:S000000756, Chromosome V:94644..96578
>YEL032C-A YEL032C-A SGDID:S000028620, Chromosome V:87040..87201
>MTC7 YEL033W SGDID:S000000759, Chromosome V:86179..86598
>YEL034C-A YEL034C-A SGDID:S000028743, Chromosome V:85613..86215
>UTR5 YEL035C SGDID:S000000761, Chromosome V:85045..85545
>ANP1 YEL036C SGDID:S000000762, Chromosome V:83050..84552
>RAD23 YEL037C SGDID:S000000763, Chromosome V:81407..82603
>CYC7 YEL039C SGDID:S000000765, Chromosome V:79636..79977
>YEL045C YEL045C SGDID:S000000771, Chromosome V:68840..69265
>GLY1 YEL046C SGDID:S000000772, Chromosome V:67629..68792
>RML2 YEL050C SGDID:S000000776, Chromosome V:59670..60851
>YEL050W-A YEL050W-A SGDID:S000028545, Chromosome V:59549..59740
>VMA8 YEL051W SGDID:S000000777, Chromosome V:58378..59148
>RPL12A YEL054C SGDID:S000000780, Chromosome V:52721..53218
>SDD1 YEL057C SGDID:S000000783, Chromosome V:45020..45721
>SOM1 YEL059C-A SGDID:S000002954, Chromosome V:42400..42624
>HHY1 YEL059W SGDID:S000000785, Chromosome V:42652..42960
>PRB1 YEL060C SGDID:S000000786, Chromosome V:40046..41953
>CIN8 YEL061C SGDID:S000000787, Chromosome V:36535..39537
>CAN1 YEL063C SGDID:S000000789, Chromosome V:31694..33466
>SIT1 YEL065W SGDID:S000000791, Chromosome V:27657..29543
>YEL067C YEL067C SGDID:S000000793, Chromosome V:26189..26776
>YEL068C YEL068C SGDID:S000000794, Chromosome V:25646..25978
>DLD3 YEL071W SGDID:S000000797, Chromosome V:16355..17845
>YEL074W YEL074W SGDID:S000000800, Chromosome V:6126..6464
>YEL075W-A YEL075W-A SGDID:S000002956, Chromosome V:4870..5481
>YEL076C-A YEL076C-A SGDID:S000002955, Chromosome V:4185..5114
>MNN1 YER001W SGDID:S000000803, Chromosome V:153520..155808
>NOP16 YER002W SGDID:S000000804, Chromosome V:156803..157498
>PMI40 YER003C SGDID:S000000805, Chromosome V:157736..159118
>FMP52 YER004W SGDID:S000000806, Chromosome V:159580..160275
>YND1 YER005W SGDID:S000000807, Chromosome V:160550..162442
>YER006C-A YER006C-A SGDID:S000028745, Chromosome V:164344..164661
>PAC2 YER007W SGDID:S000000809, Chromosome V:164527..166083
>SEC3 YER008C SGDID:S000000810, Chromosome V:167808..171818
>NTF2 YER009W SGDID:S000000811, Chromosome V:172115..172492
>YER010C YER010C SGDID:S000000812, Chromosome V:172634..173338
>TIR1 YER011W SGDID:S000000813, Chromosome V:175248..176012
>PRE1 YER012W SGDID:S000000814, Chromosome V:177835..178431
>PRP22 YER013W SGDID:S000000815, Chromosome V:178841..182278
>BUD25 YER014C-A SGDID:S000007590, Chromosome V:183731..184700
>BIM1 YER016W SGDID:S000000818, Chromosome V:188277..189311
>AFG3 YER017C SGDID:S000000819, Chromosome V:189503..191788
>SPC25 YER018C SGDID:S000000820, Chromosome V:191959..192624
>SBH2 YER019C-A SGDID:S000002127, Chromosome V:194273..194539
>ISC1 YER019W SGDID:S000000821, Chromosome V:192797..194230
>RPN3 YER021W SGDID:S000000823, Chromosome V:196948..198519
>SRB4 YER022W SGDID:S000000824, Chromosome V:198812..200875
>YER023C-A YER023C-A SGDID:S000028622, Chromosome V:201522..201734
>GAL83 YER027C SGDID:S000000829, Chromosome V:208979..210232
>MIG3 YER028C SGDID:S000000830, Chromosome V:210692..211876
>SMB1 YER029C SGDID:S000000831, Chromosome V:212587..213177
>YPT31 YER031C SGDID:S000000833, Chromosome V:214076..214747
>ZRG8 YER033C SGDID:S000000835, Chromosome V:218057..221287
>YER034W YER034W SGDID:S000000836, Chromosome V:221846..222403
>EDC2 YER035W SGDID:S000000837, Chromosome V:222639..223076
>PHM8 YER037W SGDID:S000000839, Chromosome V:225889..226854
>KRE29 YER038C SGDID:S000000840, Chromosome V:226858..228252
>FMP49 YER038W-A SGDID:S000028746, Chromosome V:228451..228831
>MXR1 YER042W SGDID:S000000844, Chromosome V:234937..235491
>SAH1 YER043C SGDID:S000000845, Chromosome V:235770..237119
>ACA1 YER045C SGDID:S000000847, Chromosome V:240032..241501
>YER046W-A YER046W-A SGDID:S000028747, Chromosome V:243700..244029
>SPO73 YER046W SGDID:S000000848, Chromosome V:243180..243611
>SAP1 YER047C SGDID:S000000849, Chromosome V:243810..246503
>CAJ1 YER048C SGDID:S000000850, Chromosome V:246982..248157
>ISD11 YER048W-A SGDID:S000007237, Chromosome V:250718..251002
>JHD1 YER051W SGDID:S000000853, Chromosome V:254656..256134
>HOM3 YER052C SGDID:S000000854, Chromosome V:256375..257958
>YER053C-A YER053C-A SGDID:S000007523, Chromosome V:260933..261046
>PIC2 YER053C SGDID:S000000855, Chromosome V:258737..259639
>HIS1 YER055C SGDID:S000000857, Chromosome V:264892..265785
>PET117 YER058W SGDID:S000000860, Chromosome V:271768..272091
>PCL6 YER059W SGDID:S000000861, Chromosome V:272624..273886
>THO1 YER063W SGDID:S000000865, Chromosome V:281710..282366
>VHR2 YER064C SGDID:S000000866, Chromosome V:282705..284222
>YER066C-A YER066C-A SGDID:S000002959, Chromosome V:291703..292203
>YER067C-A YER067C-A SGDID:S000028748, Chromosome V:292240..292563
>RGI1 YER067W SGDID:S000000869, Chromosome V:292066..292551
>YER068C-A YER068C-A SGDID:S000028749, Chromosome V:295301..295732
>MOT2 YER068W SGDID:S000000870, Chromosome V:293050..294813
>ARG56 YER069W SGDID:S000000871, Chromosome V:295410..298001
>TDA2 YER071C SGDID:S000000873, Chromosome V:301947..302327
>VTC1 YER072W SGDID:S000000874, Chromosome V:302806..303195
>ALD5 YER073W SGDID:S000000875, Chromosome V:304030..305592
>YOS1 YER074W-A SGDID:S000007651, Chromosome V:307653..308123
>PTP3 YER075C SGDID:S000000877, Chromosome V:308413..311199
>YER076C YER076C SGDID:S000000878, Chromosome V:312590..313498
>YER076W-A YER076W-A SGDID:S000028750, Chromosome V:313390..313737
>MRX1 YER077C SGDID:S000000879, Chromosome V:314534..316600
>ICP55 YER078C SGDID:S000000880, Chromosome V:316807..318342
>YER078W-A YER078W-A SGDID:S000028546, Chromosome V:318646..318810
>YER079C-A YER079C-A SGDID:S000028751, Chromosome V:319902..320240
>YER079W YER079W SGDID:S000000881, Chromosome V:318920..319552
>AIM9 YER080W SGDID:S000000882, Chromosome V:319963..321846
>UTP7 YER082C SGDID:S000000884, Chromosome V:324272..325936
>GET2 YER083C SGDID:S000000885, Chromosome V:326174..327031
>YER084W-A YER084W-A SGDID:S000028752, Chromosome V:327598..328110
>YER084W YER084W SGDID:S000000886, Chromosome V:327065..327451
>YER085C YER085C SGDID:S000000887, Chromosome V:327619..328140
>ILV1 YER086W SGDID:S000000888, Chromosome V:328477..330207
>YER087C-A YER087C-A SGDID:S000028753, Chromosome V:331817..332368
>SBH1 YER087C-B SGDID:S000002128, Chromosome V:332582..332830
>AIM10 YER087W SGDID:S000000889, Chromosome V:330576..332306
>YER088C-A YER088C-A SGDID:S000028754, Chromosome V:335696..336019
>DOT6 YER088C SGDID:S000000890, Chromosome V:333176..335188
>YER088W-B YER088W-B SGDID:S000028623, Chromosome V:335927..336073
>PTC2 YER089C SGDID:S000000891, Chromosome V:335946..337340
>YER090C-A YER090C-A SGDID:S000029725, Chromosome V:338322..338411
>TRP2 YER090W SGDID:S000000892, Chromosome V:337949..339472
>YER091C-A YER091C-A SGDID:S000007238, Chromosome V:342390..342611
>MET6 YER091C SGDID:S000000893, Chromosome V:339864..342167
>IES5 YER092W SGDID:S000000894, Chromosome V:342855..343232
>AIM11 YER093C-A SGDID:S000002960, Chromosome V:347912..348400
>TSC11 YER093C SGDID:S000000895, Chromosome V:343320..347612
>YER097W YER097W SGDID:S000000899, Chromosome V:355140..355469
>UBC6 YER100W SGDID:S000000902, Chromosome V:359562..360314
>AST2 YER101C SGDID:S000000903, Chromosome V:360502..361794
>GLE2 YER107C SGDID:S000000909, Chromosome V:373448..374545
>YER107W-A YER107W-A SGDID:S000028755, Chromosome V:374394..374714
>FLO8 YER109C SGDID:S000000911, Chromosome V:375215..377614
>KAP123 YER110C SGDID:S000000912, Chromosome V:378762..382103
>LSM4 YER112W SGDID:S000000914, Chromosome V:387232..387795
>TMN3 YER113C SGDID:S000000915, Chromosome V:387932..390052
>SPR6 YER115C SGDID:S000000917, Chromosome V:394292..394867
>SLX8 YER116C SGDID:S000000918, Chromosome V:395348..396172
>RPL23B YER117W SGDID:S000000919, Chromosome V:396769..397653
>SHO1 YER118C SGDID:S000000920, Chromosome V:397952..399055
>YER119C-A YER119C-A SGDID:S000002961, Chromosome V:400867..401238
>AVT6 YER119C SGDID:S000000921, Chromosome V:399496..400842
>SCS2 YER120W SGDID:S000000922, Chromosome V:401135..401869
>YER121W YER121W SGDID:S000000923, Chromosome V:402375..402719
>YCK3 YER123W SGDID:S000000925, Chromosome V:404813..406387
>DSE1 YER124C SGDID:S000000926, Chromosome V:407342..409063
>LCP5 YER127W SGDID:S000000929, Chromosome V:414481..415554
>VFA1 YER128W SGDID:S000000930, Chromosome V:415859..416470
>SAK1 YER129W SGDID:S000000931, Chromosome V:417281..420709
>PMD1 YER132C SGDID:S000000934, Chromosome V:425188..430449
>YER133W-A YER133W-A SGDID:S000028756, Chromosome V:437191..437532
>GLC7 YER133W SGDID:S000000935, Chromosome V:432495..433958
>YER134C YER134C SGDID:S000000936, Chromosome V:437267..437803
>YER135C YER135C SGDID:S000000937, Chromosome V:437952..438344
>YER137C YER137C SGDID:S000000939, Chromosome V:441373..441819
>YER137W-A YER137W-A SGDID:S000028757, Chromosome V:441575..441880
>RTR1 YER139C SGDID:S000000941, Chromosome V:450563..451243
>EMP65 YER140W SGDID:S000000942, Chromosome V:451565..453235
>COX15 YER141W SGDID:S000000943, Chromosome V:453459..454919
>MAG1 YER142C SGDID:S000000944, Chromosome V:455146..456036
>DDI1 YER143W SGDID:S000000945, Chromosome V:456319..457605
>YER145C-A YER145C-A SGDID:S000028758, Chromosome V:462386..462823
>FTR1 YER145C SGDID:S000000947, Chromosome V:460526..461740
>YER147C-A YER147C-A SGDID:S000028759, Chromosome V:465203..465613
>YER148W-A YER148W-A SGDID:S000028760, Chromosome V:466185..466763
>SPT15 YER148W SGDID:S000000950, Chromosome V:465303..466025
>PEA2 YER149C SGDID:S000000951, Chromosome V:466208..467470
>SPI1 YER150W SGDID:S000000952, Chromosome V:468370..468816
>UBP3 YER151C SGDID:S000000953, Chromosome V:469686..472424
>YER152C YER152C SGDID:S000000954, Chromosome V:472657..473988
>YER152W-A YER152W-A SGDID:S000028761, Chromosome V:473485..474051
>PET122 YER153C SGDID:S000000955, Chromosome V:474041..474805
>BEM2 YER155C SGDID:S000000957, Chromosome V:476345..482848
>MYG1 YER156C SGDID:S000000958, Chromosome V:483325..484341
>COG3 YER157W SGDID:S000000959, Chromosome V:484788..487193
>YER158C YER158C SGDID:S000000960, Chromosome V:488857..490578
>YER158W-A YER158W-A SGDID:S000028624, Chromosome V:491487..491702
>BUR6 YER159C SGDID:S000000961, Chromosome V:491530..491958
>SPT2 YER161C SGDID:S000000963, Chromosome V:499347..500348
>GCG1 YER163C SGDID:S000000965, Chromosome V:503084..503782
>CHD1 YER164W SGDID:S000000966, Chromosome V:505392..509798
>YER165C-A YER165C-A SGDID:S000028762, Chromosome V:512627..512983
>PAB1 YER165W SGDID:S000000967, Chromosome V:510373..512106
>DNF1 YER166W SGDID:S000000968, Chromosome V:512744..517459
>CCA1 YER168C SGDID:S000000970, Chromosome V:521029..522669
>RAD3 YER171W SGDID:S000000973, Chromosome V:527082..529418
>YER172C-A YER172C-A SGDID:S000028763, Chromosome V:536275..536655
>BRR2 YER172C SGDID:S000000974, Chromosome V:529530..536021
>RAD24 YER173W SGDID:S000000975, Chromosome V:536300..538279
>GRX4 YER174C SGDID:S000000976, Chromosome V:538434..539168
>TMT1 YER175C SGDID:S000000977, Chromosome V:539464..540363
>YER175W-A YER175W-A SGDID:S000028625, Chromosome V:540650..540814
>DMC1 YER179W SGDID:S000000981, Chromosome V:548421..549517
>SLO1 YER180C-A SGDID:S000028437, Chromosome V:550865..551122
>ISC10 YER180C SGDID:S000000982, Chromosome V:549724..550527
>YER181C YER181C SGDID:S000000983, Chromosome V:551473..551796
>FMP10 YER182W SGDID:S000000984, Chromosome V:552525..553259
>TOG1 YER184C SGDID:S000000986, Chromosome V:556296..558680
>PUG1 YER185W SGDID:S000000987, Chromosome V:559454..560365
>YER186C YER186C SGDID:S000000988, Chromosome V:561705..562625
>YER188W YER188W SGDID:S000000990, Chromosome V:568040..568759
>DEG1 YFL001W SGDID:S000001895, Chromosome VI:147131..148459
>SPB4 YFL002C SGDID:S000001894, Chromosome VI:145114..146934
>VTC2 YFL004W SGDID:S000001890, Chromosome VI:131810..134296
>SEC4 YFL005W SGDID:S000001889, Chromosome VI:130334..130981
>BLM10 YFL007W SGDID:S000001887, Chromosome VI:123479..129910
>SMC1 YFL008W SGDID:S000001886, Chromosome VI:119429..123106
>CDC4 YFL009W SGDID:S000001885, Chromosome VI:116145..118484
>WWM1 YFL010C SGDID:S000001884, Chromosome VI:115108..115743
>AUA1 YFL010W-A SGDID:S000001955, Chromosome VI:114990..115274
>HXT10 YFL011W SGDID:S000001883, Chromosome VI:112345..113985
>YFL012W-A YFL012W-A SGDID:S000002964, Chromosome VI:109810..110184
>YFL012W YFL012W SGDID:S000001882, Chromosome VI:110647..111093
>YFL013W-A YFL013W-A SGDID:S000028628, Chromosome VI:107799..108602
>YFL015C YFL015C SGDID:S000001879, Chromosome VI:106469..106963
>YFL015W-A YFL015W-A SGDID:S000028765, Chromosome VI:106415..106732
>SMX2 YFL017W-A SGDID:S000002965, Chromosome VI:103699..103932
>YFL019C YFL019C SGDID:S000001875, Chromosome VI:100252..100605
>YFL021C-A YFL021C-A SGDID:S000028766, Chromosome VI:95761..96615
>GAT1 YFL021W SGDID:S000001873, Chromosome VI:95966..97498
>EPL1 YFL024C SGDID:S000001870, Chromosome VI:87847..90345
>BST1 YFL025C SGDID:S000001869, Chromosome VI:84145..87234
>STE2 YFL026W SGDID:S000001868, Chromosome VI:82580..83875
>GYP8 YFL027C SGDID:S000001867, Chromosome VI:80419..81912
>CAF16 YFL028C SGDID:S000001866, Chromosome VI:79344..80213
>AGX1 YFL030W SGDID:S000001864, Chromosome VI:76831..77988
>YFL031C-A YFL031C-A SGDID:S000028629, Chromosome VI:76014..76115
>YFL032W YFL032W SGDID:S000001862, Chromosome VI:74872..75192
>RIM15 YFL033C SGDID:S000001861, Chromosome VI:69115..74427
>RPL22B YFL034C-A SGDID:S000006436, Chromosome VI:64243..64932
>MOB2 YFL034C-B SGDID:S000001859, Chromosome VI:63016..63993
>RPO41 YFL036W SGDID:S000001858, Chromosome VI:58782..62837
>ACT1 YFL039C SGDID:S000001855, Chromosome VI:53260..54696
>YFL040W YFL040W SGDID:S000001854, Chromosome VI:51350..52972
>LAM5 YFL042C SGDID:S000001852, Chromosome VI:45720..47744
>OTU1 YFL044C SGDID:S000001850, Chromosome VI:44655..45560
>SEC53 YFL045C SGDID:S000001849, Chromosome VI:43628..44392
>FMP32 YFL046W SGDID:S000001848, Chromosome VI:42815..43438
>RGD2 YFL047W SGDID:S000001847, Chromosome VI:40421..42565
>EMP47 YFL048C SGDID:S000001846, Chromosome VI:38843..40180
>SWP82 YFL049W SGDID:S000001845, Chromosome VI:36803..38674
>ALR2 YFL050C SGDID:S000001844, Chromosome VI:33272..35848
>ZNF1 YFL052W SGDID:S000001842, Chromosome VI:28232..29629
>DAK2 YFL053W SGDID:S000001841, Chromosome VI:23423..25198
>AGP3 YFL055W SGDID:S000001839, Chromosome VI:17004..18680
>YFL063W YFL063W SGDID:S000001831, Chromosome VI:5066..5521
>LOC1 YFR001W SGDID:S000001897, Chromosome VI:149110..149724
>NIC96 YFR002W SGDID:S000001898, Chromosome VI:150016..152535
>YPI1 YFR003C SGDID:S000001899, Chromosome VI:152657..153124
>FAR7 YFR008W SGDID:S000001904, Chromosome VI:160535..161200
>YFR009W-A YFR009W-A SGDID:S000028823, Chromosome VI:163875..164132
>GCN20 YFR009W SGDID:S000001905, Chromosome VI:162488..164746
>YFR010W-A YFR010W-A SGDID:S000028824, Chromosome VI:166728..166916
>UBP6 YFR010W SGDID:S000001906, Chromosome VI:165067..166566
>MIC19 YFR011C SGDID:S000001907, Chromosome VI:166746..167258
>YFR012W-A YFR012W-A SGDID:S000007606, Chromosome VI:169224..169310
>CMK1 YFR014C SGDID:S000001910, Chromosome VI:172537..173877
>GSY1 YFR015C SGDID:S000001911, Chromosome VI:174265..176391
>IGD1 YFR017C SGDID:S000001913, Chromosome VI:182274..182861
>YFR018C YFR018C SGDID:S000001914, Chromosome VI:183131..184222
>FAB1 YFR019W SGDID:S000001915, Chromosome VI:184502..191338
>ATG18 YFR021W SGDID:S000001917, Chromosome VI:194812..196314
>LSB3 YFR024C-A SGDID:S000002968, Chromosome VI:201960..203433
>HIS2 YFR025C SGDID:S000001921, Chromosome VI:203743..204750
>ULI1 YFR026C SGDID:S000001922, Chromosome VI:205748..206257
>ECO1 YFR027W SGDID:S000001923, Chromosome VI:207452..208297
>CDC14 YFR028C SGDID:S000001924, Chromosome VI:208413..210068
>PTR3 YFR029W SGDID:S000001925, Chromosome VI:210937..212973
>SMC2 YFR031C SGDID:S000001927, Chromosome VI:216594..220106
>MIN10 YFR032C-B SGDID:S000028630, Chromosome VI:223710..223973
>RRT5 YFR032C SGDID:S000001928, Chromosome VI:222090..222959
>PHO4 YFR034C SGDID:S000001930, Chromosome VI:225020..225958
>YFR034W-A YFR034W-A SGDID:S000028631, Chromosome VI:226022..226309
>YFR035C YFR035C SGDID:S000001931, Chromosome VI:226121..226465
>YFR036W-A YFR036W-A SGDID:S000028767, Chromosome VI:227451..228101
>CDC26 YFR036W SGDID:S000001932, Chromosome VI:226963..227337
>SAP155 YFR040W SGDID:S000001936, Chromosome VI:234242..237250
>ERJ5 YFR041C SGDID:S000001937, Chromosome VI:237368..238255
>KEG1 YFR042W SGDID:S000001938, Chromosome VI:238458..239060
>IRC6 YFR043C SGDID:S000001939, Chromosome VI:239114..239827
>MRX20 YFR045W SGDID:S000001941, Chromosome VI:241998..242999
>PRE4 YFR050C SGDID:S000001946, Chromosome VI:249066..249866
>YFR052C-A YFR052C-A SGDID:S000028768, Chromosome VI:253429..253734
>YFR056C YFR056C SGDID:S000001951, Chromosome VI:263957..264325
>YFR057W YFR057W SGDID:S000001953, Chromosome VI:269061..269516
>ERG26 YGL001C SGDID:S000002969, Chromosome VII:495453..496502
>ERP6 YGL002W SGDID:S000002970, Chromosome VII:494517..495167
>CDH1 YGL003C SGDID:S000002971, Chromosome VII:492474..494174
>COG7 YGL005C SGDID:S000002973, Chromosome VII:489708..490547
>YGL006W-A YGL006W-A SGDID:S000028769, Chromosome VII:485423..485533
>PMC1 YGL006W SGDID:S000002974, Chromosome VII:485921..489442
>YGL007C-A YGL007C-A SGDID:S000028632, Chromosome VII:482941..483027
>BRP1 YGL007W SGDID:S000002975, Chromosome VII:483260..483637
>LEU1 YGL009C SGDID:S000002977, Chromosome VII:476313..478652
>MPO1 YGL010W SGDID:S000002978, Chromosome VII:475545..476069
>ERG4 YGL012W SGDID:S000002980, Chromosome VII:472855..474276
>PDR1 YGL013C SGDID:S000002981, Chromosome VII:469092..472298
>YGL014C-A YGL014C-A SGDID:S000028825, Chromosome VII:466237..466398
>PUF4 YGL014W SGDID:S000002982, Chromosome VII:466141..468807
>BIL2 YGL015C SGDID:S000002983, Chromosome VII:465043..465435
>JAC1 YGL018C SGDID:S000002986, Chromosome VII:459110..459664
>CKB1 YGL019W SGDID:S000002987, Chromosome VII:458156..458992
>GET1 YGL020C SGDID:S000002988, Chromosome VII:457163..457870
>ALK1 YGL021W SGDID:S000002989, Chromosome VII:454785..457067
>PIB2 YGL023C SGDID:S000002991, Chromosome VII:450197..452104
>YGL024W YGL024W SGDID:S000002992, Chromosome VII:449788..450123
>TRP5 YGL026C SGDID:S000002994, Chromosome VII:446412..448535
>CWH41 YGL027C SGDID:S000002995, Chromosome VII:443642..446143
>SCW11 YGL028C SGDID:S000002996, Chromosome VII:441281..442909
>AGA2 YGL032C SGDID:S000003000, Chromosome VII:436570..436833
>YGL034C YGL034C SGDID:S000003002, Chromosome VII:433214..433579
>MIG1 YGL035C SGDID:S000003003, Chromosome VII:431548..433062
>YGL036W YGL036W SGDID:S000003004, Chromosome VII:428601..431330
>PNC1 YGL037C SGDID:S000003005, Chromosome VII:427297..427947
>HEM2 YGL040C SGDID:S000003008, Chromosome VII:419527..420555
>YGL041C-B YGL041C-B SGDID:S000028548, Chromosome VII:418704..418886
>YGL041C YGL041C SGDID:S000003009, Chromosome VII:419022..419225
>DPC13 YGL041W-A SGDID:S000028826, Chromosome VII:418825..419289
